zcr,rmse,energy,spectral_centroid,spectral_bandwidth,spectral_flatness,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
0.04245721726190476,0.28011253,4212.635,914.762651924437,1285.3824667888748,0.06504465,1880.580357142857,-204.19987,101.52016,21.373892,9.224038,-6.091744,4.2676272,-14.606496,0.31219235,-21.55012,-10.089917,-19.867361,-13.829382,-8.017553,real
0.14394996279761904,0.15435189,1273.7645,2027.7347495405302,1815.7424366099551,0.0043170657,3838.7896825396824,-252.31216,77.01342,66.29399,18.787466,-16.499397,-3.3947022,-32.09638,4.1276903,-27.784147,-3.518472,-18.9235,-7.7129436,1.4526523,real
0.16592261904761904,0.45295295,8046.262,1823.773356455951,1362.6912233633198,0.006505209,2760.9126984126983,-96.67054,94.94563,25.58062,12.502981,-1.8426443,14.21441,-28.525286,8.355361,-26.348877,-0.8798501,-24.808876,-6.048205,-6.635379,real
0.07562158978174603,0.48960122,8779.217,968.8985479962527,1185.930119328869,0.0013075861,1666.5426587301588,-148.27774,124.49187,10.710873,12.31618,-5.9273458,4.726759,-14.821433,2.1404302,-15.617319,-9.349812,-17.92789,-12.07022,-6.477702,real
0.07544332837301587,0.34131274,4258.207,1147.5635266658114,1354.8994277866761,0.003819693,2157.1180555555557,-146.31311,120.7674,29.221678,28.205063,0.83086324,8.463991,-25.338665,-0.55447376,-30.480448,-2.8639815,-25.673252,-13.236904,-4.7405815,real
0.17068917410714285,0.18842924,1474.5452,1782.5324874318815,1624.6507562383656,0.0059983744,3417.906746031746,-199.9708,94.01685,24.250504,14.232573,-8.636446,-14.158529,-54.015533,4.20449,-15.317866,-8.265893,-27.311543,-6.9008803,-0.82928,real
0.16758897569444445,0.20520471,2101.7183,1796.7794139826162,1604.519005463656,0.007115039,3195.3125,-215.48502,92.050575,41.123447,3.9059732,-12.469179,-8.909106,-35.730637,5.4267535,-21.634087,-13.349697,-18.950792,-10.563002,-2.900127,real
0.1792534722222222,0.15258747,1061.5681,1992.6555995707467,1401.994841934201,0.008005919,3070.684523809524,-216.48329,106.99797,38.458515,-0.6429668,-30.809507,14.272837,-41.06574,1.4929813,-6.514693,-5.134221,-24.787601,-0.72158843,2.339527,real
0.09648592509920635,0.24315004,2347.0078,1396.7479741326688,1293.0950407673342,0.005153469,2225.0744047619046,-179.1238,121.98384,23.084242,6.6628795,-33.187454,3.1617734,-36.115437,-1.2457328,-25.613642,-10.383062,-14.233503,-9.91477,0.80621827,real
0.062158978174603176,0.17188525,1485.2964,1078.1324553698382,1294.5905173832439,0.007325086,2139.5089285714284,-233.78595,113.43671,26.226416,11.316631,-23.54476,1.3681501,-24.80397,-12.153634,-19.829535,-6.733063,-15.209008,-11.268538,9.257163,real
